Dove;Circoscrizione;Collegio plurinominale;Lista;Candidato
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;MARTINA SEMENZATO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;TOMMASO VARALDO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;LOREDANA MUCI
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;ANTONIO CUZZILLA
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;PAOLA BINETTI
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;MATTEO DORIA
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;SILVIA MINOLFI
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;MIMMO DELLISANTI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;ILARIA CAVO
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;GIUSEPPE RUVOLO
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;ROSSANA MANTI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;GIOVANNI ZARRILLO
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;MASSIMO VITTORIO BERUTTI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;MARIA ESMERALDA CARLA MASSERONI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;FRANCO TRUSSI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;FRANCA SCARABELLO
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;MARIANGELA PADALINO
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;FILIPPO BINI SMAGHI
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;RITA AMABILE
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;FRANCO VASSALLO
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;MARIATERESA BALDINI
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;TOMMASO MARIA PAPA
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;RITA AMABILE
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;LINO FOSSATI
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;CARLO PIETRO BARONI
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;CHIARA BROLI
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;DIMITRI CASSANI
