Dove;Circoscrizione;Collegio plurinominale;Lista;Candidato
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;LAURA CASTELLI
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;DAVIDE SERRITELLA
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;RAFFAELLA CUOMO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;SAVERIO BOGGI
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;LAURA CASTELLI
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;ANDREA CASO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;RAFFAELLA CUOMO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;FRANCESCO ABBATE
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;LUCIA AZZOLINA
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;ANTONIO CURATOLA
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;TIZIANA SESTI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;MARCO RICUCCI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;ANTONIO CURATOLA
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;MARIA PALLINI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;MENOTTI STEFANO COLUCCI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;TIZIANA SESTI
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;BRUNO TABACCI
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;ANITA LIKMETA
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;MENOTTI STEFANO COLUCCI
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;SERENA FRANCESCA PRATELLI
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;MANLIO DI STEFANO
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;CARMELA ZINO COLANINO
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;ANTONIO CURATOLA
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;SIMONA DI BLASI
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;TIZIANA SESTI
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;LUIGI IOVINO
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EMILIANA MORGANTE
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;MENOTTI STEFANO COLUCCI
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;SERENA FRANCESCA PRATELLI
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;ANDREA CASO
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EMILIANA MORGANTE
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;SAVERIO BOGGI
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;SERENA FRANCESCA PRATELLI
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;MENOTTI STEFANO COLUCCI
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EMILIANA MORGANTE
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;CARLO CORNELLI
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;LAURA CASTELLI
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;LUIGI IOVINO
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EMILIANA MORGANTE
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;SAVERIO BOGGI
CAMERA DEI DEPUTATI;LOMBARDIA 4;LOMBARDIA 4 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;BRUNO TABACCI
CAMERA DEI DEPUTATI;LOMBARDIA 4;LOMBARDIA 4 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;ANITA LIKMETA
CAMERA DEI DEPUTATI;LOMBARDIA 4;LOMBARDIA 4 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;GIORGIO FEDERIGHI
CAMERA DEI DEPUTATI;LOMBARDIA 4;LOMBARDIA 4 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;SERENA FRANCESCA PRATELLI
CAMERA DEI DEPUTATI;VENETO 1;VENETO 1 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;CARLO ROMANO
CAMERA DEI DEPUTATI;VENETO 1;VENETO 1 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;MARIANNA IORIO
CAMERA DEI DEPUTATI;VENETO 1;VENETO 1 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;ANTONIO CURATOLA
CAMERA DEI DEPUTATI;VENETO 1;VENETO 1 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;RAFFAELLA CUOMO
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;ANTONIO CURATOLA
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;PATRIZIA TERZONI
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;MARCO RICUCCI
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;SERENA FRANCESCA PRATELLI
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;ALESSIO ANGELUCCI
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;TIZIANA SESTI
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;SAVERIO BOGGI
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;RAFFAELLA CUOMO
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P03;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;MATTIA FANTINATI
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P03;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;MARTA GRANDE
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P03;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;SAVERIO BOGGI
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P03;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;RAFFAELLA CUOMO
CAMERA DEI DEPUTATI;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EMILIANA MORGANTE
CAMERA DEI DEPUTATI;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;MARCO RICUCCI
CAMERA DEI DEPUTATI;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;SIMONA DI BLASI
CAMERA DEI DEPUTATI;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;FRANCESCO ABBATE
CAMERA DEI DEPUTATI;LIGURIA;LIGURIA - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;SERGIO BATTELLI
CAMERA DEI DEPUTATI;LIGURIA;LIGURIA - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;ILENIA PORRO
CAMERA DEI DEPUTATI;LIGURIA;LIGURIA - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;MARCO RICUCCI
CAMERA DEI DEPUTATI;LIGURIA;LIGURIA - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;TIZIANA SESTI
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;BRUNO TABACCI
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;IOLANDA DI STASIO
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;GENEROSO MARAIA
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;SIMONA DI BLASI
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;CARLO ROMANO
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;IOLANDA DI STASIO
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;ANDREA CASO
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;SIMONA DI BLASI
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P03;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;CARLO ROMANO
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P03;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;RAFFAELLA SENSOLI
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P03;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;SERGIO BATTELLI
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P03;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;ROSSANA BORGO PALAZZO
CAMERA DEI DEPUTATI;TOSCANA;TOSCANA - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;CARLO ROMANO
CAMERA DEI DEPUTATI;TOSCANA;TOSCANA - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;LAURA AGEA
CAMERA DEI DEPUTATI;TOSCANA;TOSCANA - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;FILIPPO GALLINELLA
CAMERA DEI DEPUTATI;TOSCANA;TOSCANA - P01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;SILVIA BARELLA
