Dove;Ripartizione;Lista;Candidato
CAMERA DEI DEPUTATI;EUROPA;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;GIUSEPPE ARNONE
CAMERA DEI DEPUTATI;EUROPA;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;SIMONE BILLI
CAMERA DEI DEPUTATI;EUROPA;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;ANTONIO CENINI
CAMERA DEI DEPUTATI;EUROPA;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;ELIA ROSSI
CAMERA DEI DEPUTATI;EUROPA;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;GIUSEPPE STABILE
CAMERA DEI DEPUTATI;EUROPA;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;STEFANO GIUSEPPE TICOZZELLI
CAMERA DEI DEPUTATI;AMERICA MERIDIONALE;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;FRANCESCA DE NATALE SIFOLA GALIANI
CAMERA DEI DEPUTATI;AMERICA MERIDIONALE;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;VITO DE PALMA
CAMERA DEI DEPUTATI;AMERICA MERIDIONALE;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;LUIS ROBERTO DI SAN MARTINO LORENZATO DI IVREA
CAMERA DEI DEPUTATI;AMERICA MERIDIONALE;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;ANDREA DORINI
CAMERA DEI DEPUTATI;AMERICA SETTENTRIONALE E CENTRALE;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;ANDREA DI GIUSEPPE
CAMERA DEI DEPUTATI;AMERICA SETTENTRIONALE E CENTRALE;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;FEDERICO FELLI
CAMERA DEI DEPUTATI;AMERICA SETTENTRIONALE E CENTRALE;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;ANGELA NISSOLI
CAMERA DEI DEPUTATI;AMERICA SETTENTRIONALE E CENTRALE;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;ANTONIO ZARA
CAMERA DEI DEPUTATI;AFRICA ASIA OCEANIA ANTARTIDE;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;GIUSEPPE COSSARI
CAMERA DEI DEPUTATI;AFRICA ASIA OCEANIA ANTARTIDE;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;ROCCO PAPAPIETRO
SENATO;EUROPA;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;LUIGI BILLE'
SENATO;EUROPA;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;ALESSANDRO ZEHENTNER
SENATO;AMERICA MERIDIONALE;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;MARCELLO DAVID BOMRAD
SENATO;AMERICA MERIDIONALE;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EMERSON FITTIPALDI
SENATO;AMERICA SETTENTRIONALE E CENTRALE;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;VINCENZO ARCOBELLI
SENATO;AMERICA SETTENTRIONALE E CENTRALE;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;ISABELLA LINDA OLIVIERI
SENATO;AFRICA ASIA OCEANIA ANTARTIDE;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;MICHELE GRIGOLETTI
SENATO;AFRICA ASIA OCEANIA ANTARTIDE;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;ENRICO NAN
