Dove;Circoscrizione;Collegio plurinominale;Lista;Candidato
CAMERA DEI DEPUTATI;VENETO 1;VENETO 1 - P01;LEGA PER SALVINI PREMIER;INGRID BISA
CAMERA DEI DEPUTATI;VENETO 1;VENETO 1 - P01;LEGA PER SALVINI PREMIER;GIANANGELO BOF
CAMERA DEI DEPUTATI;VENETO 1;VENETO 1 - P01;LEGA PER SALVINI PREMIER;ANTONIETTA GIACOMETTI
CAMERA DEI DEPUTATI;VENETO 1;VENETO 1 - P01;LEGA PER SALVINI PREMIER;FRANCO MANZATO
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P01;LEGA PER SALVINI PREMIER;ALBERTO STEFANI
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P01;LEGA PER SALVINI PREMIER;ARIANNA LAZZARINI
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P01;LEGA PER SALVINI PREMIER;LORENZO VIVIANI
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P01;LEGA PER SALVINI PREMIER;FEDERICA PIETROGRANDE
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P02;LEGA PER SALVINI PREMIER;ERIK UMBERTO PRETTO
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P02;LEGA PER SALVINI PREMIER;INGRID BISA
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P02;LEGA PER SALVINI PREMIER;GIUSEPPE CASTAMAN
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P02;LEGA PER SALVINI PREMIER;SILVIA COVOLO
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P03;LEGA PER SALVINI PREMIER;LORENZO FONTANA
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P03;LEGA PER SALVINI PREMIER;LARA FADINI
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P03;LEGA PER SALVINI PREMIER;ROBERTO TURRI
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P03;LEGA PER SALVINI PREMIER;VANIA VALBUSA
CAMERA DEI DEPUTATI;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - P01;LEGA PER SALVINI PREMIER;VANNIA GAVA
CAMERA DEI DEPUTATI;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - P01;LEGA PER SALVINI PREMIER;GRAZIANO PIZZIMENTI
CAMERA DEI DEPUTATI;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - P01;LEGA PER SALVINI PREMIER;AURELIA BUBISUTTI
CAMERA DEI DEPUTATI;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - P01;LEGA PER SALVINI PREMIER;DIEGO BERNARDIS
CAMERA DEI DEPUTATI;LIGURIA;LIGURIA - P01;LEGA PER SALVINI PREMIER;FRANCESCO BRUZZONE
CAMERA DEI DEPUTATI;LIGURIA;LIGURIA - P01;LEGA PER SALVINI PREMIER;LAURA RAVETTO
CAMERA DEI DEPUTATI;LIGURIA;LIGURIA - P01;LEGA PER SALVINI PREMIER;FLAVIO DI MURO
CAMERA DEI DEPUTATI;LIGURIA;LIGURIA - P01;LEGA PER SALVINI PREMIER;SARA FOSCOLO
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P01;LEGA PER SALVINI PREMIER;ARMANDO SIRI
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P01;LEGA PER SALVINI PREMIER;BENEDETTA FIORINI
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P01;LEGA PER SALVINI PREMIER;GIOVANNI BATTISTA TOMBOLATO
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P01;LEGA PER SALVINI PREMIER;PAOLA ZANICHELLI
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P02;LEGA PER SALVINI PREMIER;VANNIA GAVA
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P02;LEGA PER SALVINI PREMIER;GIANNI TONELLI
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P02;LEGA PER SALVINI PREMIER;AGNESE ZAGHI
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P02;LEGA PER SALVINI PREMIER;GUGLIELMO GOLINELLI
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P03;LEGA PER SALVINI PREMIER;DAVIDE BERGAMINI
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P03;LEGA PER SALVINI PREMIER;LAURA CAVANDOLI
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P03;LEGA PER SALVINI PREMIER;JACOPO MORRONE
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P03;LEGA PER SALVINI PREMIER;ELENA RAFFAELLI
CAMERA DEI DEPUTATI;TOSCANA;TOSCANA - P01;LEGA PER SALVINI PREMIER;ANDREA BARABOTTI
CAMERA DEI DEPUTATI;TOSCANA;TOSCANA - P01;LEGA PER SALVINI PREMIER;ILARIA BENIGNI
CAMERA DEI DEPUTATI;TOSCANA;TOSCANA - P01;LEGA PER SALVINI PREMIER;DANIELE SPADA
CAMERA DEI DEPUTATI;TOSCANA;TOSCANA - P01;LEGA PER SALVINI PREMIER;RUBINA MARIA BALDECCHI
CAMERA DEI DEPUTATI;TOSCANA;TOSCANA - P02;LEGA PER SALVINI PREMIER;TIZIANA NISINI
CAMERA DEI DEPUTATI;TOSCANA;TOSCANA - P02;LEGA PER SALVINI PREMIER;MARIO LOLINI
CAMERA DEI DEPUTATI;TOSCANA;TOSCANA - P02;LEGA PER SALVINI PREMIER;CINZIA SANTONI
CAMERA DEI DEPUTATI;TOSCANA;TOSCANA - P02;LEGA PER SALVINI PREMIER;CARLO GHIOZZI
CAMERA DEI DEPUTATI;TOSCANA;TOSCANA - P03;LEGA PER SALVINI PREMIER;EDOARDO ZIELLO
CAMERA DEI DEPUTATI;TOSCANA;TOSCANA - P03;LEGA PER SALVINI PREMIER;TIZIANA NISINI
CAMERA DEI DEPUTATI;TOSCANA;TOSCANA - P03;LEGA PER SALVINI PREMIER;FEDERICO BUSSOLIN
CAMERA DEI DEPUTATI;TOSCANA;TOSCANA - P03;LEGA PER SALVINI PREMIER;MICHELA MONACO
CAMERA DEI DEPUTATI;UMBRIA;UMBRIA - P01;LEGA PER SALVINI PREMIER;VALERIA ALESSANDRINI
CAMERA DEI DEPUTATI;UMBRIA;UMBRIA - P01;LEGA PER SALVINI PREMIER;SIMONE PILLON
CAMERA DEI DEPUTATI;UMBRIA;UMBRIA - P01;LEGA PER SALVINI PREMIER;MARIA CRISTINA CANUTI
CAMERA DEI DEPUTATI;UMBRIA;UMBRIA - P01;LEGA PER SALVINI PREMIER;FEDERICO BRIZI
CAMERA DEI DEPUTATI;MARCHE;MARCHE - P01;LEGA PER SALVINI PREMIER;RICCARDO AUGUSTO MARCHETTI
CAMERA DEI DEPUTATI;MARCHE;MARCHE - P01;LEGA PER SALVINI PREMIER;ELENA CAMPAGNOLO
CAMERA DEI DEPUTATI;MARCHE;MARCHE - P01;LEGA PER SALVINI PREMIER;GIULIANO PAZZAGLINI
CAMERA DEI DEPUTATI;MARCHE;MARCHE - P01;LEGA PER SALVINI PREMIER;SILVANA GHIRETTI
