Dove;Circoscrizione;Collegio plurinominale;Lista;Candidato
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P01;SUD CHIAMA NORD;RAJASULAKSHANA JESUTHASAN
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P01;SUD CHIAMA NORD;RAJBIR SINGH
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P01;SUD CHIAMA NORD;HOLTA CEKA
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P01;SUD CHIAMA NORD;MICHELE GUARNA
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P03;SUD CHIAMA NORD;ROBERTA BRAVI
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P03;SUD CHIAMA NORD;NINO GINARDI
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P03;SUD CHIAMA NORD;FRANCESCA CASTELLANA
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P03;SUD CHIAMA NORD;VINCENZO LEGA
CAMERA DEI DEPUTATI;ABRUZZO;ABRUZZO - P01;SUD CHIAMA NORD;STEFANO D'AMICO
CAMERA DEI DEPUTATI;ABRUZZO;ABRUZZO - P01;SUD CHIAMA NORD;EDDA GIUBERTI
CAMERA DEI DEPUTATI;ABRUZZO;ABRUZZO - P01;SUD CHIAMA NORD;FABRIZIO MACCARONE
CAMERA DEI DEPUTATI;ABRUZZO;ABRUZZO - P01;SUD CHIAMA NORD;ROSSELLA SORCE
CAMERA DEI DEPUTATI;CALABRIA;CALABRIA - P01;SUD CHIAMA NORD;FRANCESCO PASSAFARO
CAMERA DEI DEPUTATI;CALABRIA;CALABRIA - P01;SUD CHIAMA NORD;MARIA TERESA FEMIA
CAMERA DEI DEPUTATI;CALABRIA;CALABRIA - P01;SUD CHIAMA NORD;ALESSANDRO BASILE
CAMERA DEI DEPUTATI;CALABRIA;CALABRIA - P01;SUD CHIAMA NORD;IMMACOLATA CERIELLO
CAMERA DEI DEPUTATI;SICILIA 1;SICILIA 1 - P01;SUD CHIAMA NORD;SALVATORE GERACI
CAMERA DEI DEPUTATI;SICILIA 1;SICILIA 1 - P01;SUD CHIAMA NORD;PAOLA MORREALE
CAMERA DEI DEPUTATI;SICILIA 1;SICILIA 1 - P01;SUD CHIAMA NORD;PIO SIRAGUSA
CAMERA DEI DEPUTATI;SICILIA 1;SICILIA 1 - P01;SUD CHIAMA NORD;GIUSEPPA COPPOLA
CAMERA DEI DEPUTATI;SICILIA 1;SICILIA 1 - P02;SUD CHIAMA NORD;SALVUCCIO PIERO BELLANCA
CAMERA DEI DEPUTATI;SICILIA 1;SICILIA 1 - P02;SUD CHIAMA NORD;JESSICA FICI
CAMERA DEI DEPUTATI;SICILIA 1;SICILIA 1 - P02;SUD CHIAMA NORD;SALVATORE MALLUZZO
CAMERA DEI DEPUTATI;SICILIA 1;SICILIA 1 - P02;SUD CHIAMA NORD;MARIA DALLI CARDILLO
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P01;SUD CHIAMA NORD;VALENTINA COSTANTINO
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P01;SUD CHIAMA NORD;LUCIANO FUMIA
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P01;SUD CHIAMA NORD;FRANCESCA DRAIA'
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P01;SUD CHIAMA NORD;GIAMMARCO RODOLFO LOMBARDO
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P02;SUD CHIAMA NORD;FRANCESCA DRAIA'
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P02;SUD CHIAMA NORD;DAVIDE MARIA VASTA
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P02;SUD CHIAMA NORD;CONCETTA RAPISARDA
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P02;SUD CHIAMA NORD;ANTONIO DANUBIO
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P03;SUD CHIAMA NORD;LUIGI FIUMARA
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P03;SUD CHIAMA NORD;CONCETTA RAPISARDA
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P03;SUD CHIAMA NORD;PAOLO MONACA
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P03;SUD CHIAMA NORD;ROMINA MIANO
SENATO;PUGLIA;PUGLIA - P01;SUD CHIAMA NORD;LUCIA PARTIPILO
SENATO;PUGLIA;PUGLIA - P01;SUD CHIAMA NORD;GIUSEPPE MONTALTO
SENATO;PUGLIA;PUGLIA - P01;SUD CHIAMA NORD;DEBORA GRAZIANO
SENATO;PUGLIA;PUGLIA - P01;SUD CHIAMA NORD;GUGLIELMO CARTIA
SENATO;CALABRIA;CALABRIA - P01;SUD CHIAMA NORD;ANTONINO BARTUCCIO
SENATO;CALABRIA;CALABRIA - P01;SUD CHIAMA NORD;ROSSELLA ANDOLFO
SENATO;CALABRIA;CALABRIA - P01;SUD CHIAMA NORD;CARMELO SATTA
SENATO;CALABRIA;CALABRIA - P01;SUD CHIAMA NORD;ROSALIA ANDRONACO
SENATO;SICILIA;SICILIA - P01;SUD CHIAMA NORD;DAFNE MUSOLINO
SENATO;SICILIA;SICILIA - P01;SUD CHIAMA NORD;CARMELO SATTA
SENATO;SICILIA;SICILIA - P01;SUD CHIAMA NORD;ANNALISA MIANO
SENATO;SICILIA;SICILIA - P01;SUD CHIAMA NORD;LUIGI CINO
SENATO;SICILIA;SICILIA - P02;SUD CHIAMA NORD;CATENO DE LUCA
SENATO;SICILIA;SICILIA - P02;SUD CHIAMA NORD;DAFNE MUSOLINO
SENATO;SICILIA;SICILIA - P02;SUD CHIAMA NORD;GIUSEPPE LOMBARDO
SENATO;SICILIA;SICILIA - P02;SUD CHIAMA NORD;LORENZINA GRASSO
