Dove;Ripartizione;Lista;Candidato
CAMERA DEI DEPUTATI;EUROPA;MOVIMENTO 5 STELLE;MATTEO ANGELO MARCELLO PILATO
CAMERA DEI DEPUTATI;EUROPA;MOVIMENTO 5 STELLE;DIEGO RENZI
CAMERA DEI DEPUTATI;EUROPA;MOVIMENTO 5 STELLE;PIERGIUSEPPE PUSCEDDU
CAMERA DEI DEPUTATI;EUROPA;MOVIMENTO 5 STELLE;FEDERICA ONORI
CAMERA DEI DEPUTATI;EUROPA;MOVIMENTO 5 STELLE;SALVATORE LA BARBERA
CAMERA DEI DEPUTATI;EUROPA;MOVIMENTO 5 STELLE;SIMONE CILIANI
CAMERA DEI DEPUTATI;AMERICA MERIDIONALE;MOVIMENTO 5 STELLE;THIAGO TROCCOLI DE ALMEIDA
CAMERA DEI DEPUTATI;AMERICA MERIDIONALE;MOVIMENTO 5 STELLE;VALENTINA POCOCACIO
CAMERA DEI DEPUTATI;AMERICA MERIDIONALE;MOVIMENTO 5 STELLE;ALESSANDRO FAMA
CAMERA DEI DEPUTATI;AMERICA MERIDIONALE;MOVIMENTO 5 STELLE;GIANCARLO COLELLA
CAMERA DEI DEPUTATI;AMERICA SETTENTRIONALE E CENTRALE;MOVIMENTO 5 STELLE;JONAS IAFFALDANO DI GREGORIO
CAMERA DEI DEPUTATI;AMERICA SETTENTRIONALE E CENTRALE;MOVIMENTO 5 STELLE;GIOVANNI EVANGELISTA
CAMERA DEI DEPUTATI;AMERICA SETTENTRIONALE E CENTRALE;MOVIMENTO 5 STELLE;CLIRIME IBRAHIMLLARI
CAMERA DEI DEPUTATI;AMERICA SETTENTRIONALE E CENTRALE;MOVIMENTO 5 STELLE;PAOLA PEGORARO
CAMERA DEI DEPUTATI;AFRICA ASIA OCEANIA ANTARTIDE;MOVIMENTO 5 STELLE;VERONICA OLIVETTO
CAMERA DEI DEPUTATI;AFRICA ASIA OCEANIA ANTARTIDE;MOVIMENTO 5 STELLE;CARMELO LOPIS
SENATO;EUROPA;MOVIMENTO 5 STELLE;ANDREA BARDIN
SENATO;EUROPA;MOVIMENTO 5 STELLE;STEFANO BALBI
SENATO;AMERICA MERIDIONALE;MOVIMENTO 5 STELLE;IVANA MAINENTI
SENATO;AMERICA MERIDIONALE;MOVIMENTO 5 STELLE;VINCENZO GARRUTI
SENATO;AMERICA SETTENTRIONALE E CENTRALE;MOVIMENTO 5 STELLE;ANNA FUMAGALLI
SENATO;AMERICA SETTENTRIONALE E CENTRALE;MOVIMENTO 5 STELLE;VIRGINIA BAGLIONI
SENATO;AFRICA ASIA OCEANIA ANTARTIDE;MOVIMENTO 5 STELLE;CLORIDIA ALTROCCHI
SENATO;AFRICA ASIA OCEANIA ANTARTIDE;MOVIMENTO 5 STELLE;LORENZO COLA
