Dove;Circoscrizione;Collegio plurinominale;Lista;Candidato
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;VITA;LORENA BASSINO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;VITA;PAOLO SENSINI
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;VITA;FEDERICA PATTARINO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;VITA;DAVIDE MICCONE
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;VITA;ROBERTO CONEDERA
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;VITA;ANNARITA PLATANIA
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;VITA;DAVIDE COTTINO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;VITA;LORENA BASSINO
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;VITA;EDOARDO POLACCO
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;VITA;ANTONIA COLOMBO
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;VITA;ANDREA VARVARA
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;VITA;LUISA FORLINI
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;VITA;PAOLO SENSINI
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;VITA;ANTONIA COLOMBO
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;VITA;FEDERICO VELATI
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;VITA;LUISA FORLINI
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;VITA;CARLO BARRESI
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;VITA;PAOLA SARTORELLI
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;VITA;MARCO BOLIS
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;VITA;PHOEBE RAYE CARRARA
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P02;VITA;PAOLA SARTORELLI
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P02;VITA;CARLO TROTALLI
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P02;VITA;VITTORIA DE BENEDITTIS
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P02;VITA;TEODOSIO DE BONIS
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P01;VITA;PIERRE ANDRE FARHAT
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P01;VITA;LAURA CATTANEO
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P01;VITA;MARCO EBERLE
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P01;VITA;SOFIA SIMONETTI
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P02;VITA;ELENA DI BENEDETTO
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P02;VITA;MARIANO DE MATTIA
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P02;VITA;SONIA CICCILLO
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P02;VITA;MARCO EBERLE
CAMERA DEI DEPUTATI;LOMBARDIA 4;LOMBARDIA 4 - P01;VITA;SARA CUNIAL
CAMERA DEI DEPUTATI;LOMBARDIA 4;LOMBARDIA 4 - P01;VITA;DAVIDE BARILLARI
CAMERA DEI DEPUTATI;LOMBARDIA 4;LOMBARDIA 4 - P01;VITA;ANGELICA POLI
CAMERA DEI DEPUTATI;LOMBARDIA 4;LOMBARDIA 4 - P01;VITA;EDOARDO POLACCO
CAMERA DEI DEPUTATI;VENETO 1;VENETO 1 - P01;VITA;SARA CUNIAL
CAMERA DEI DEPUTATI;VENETO 1;VENETO 1 - P01;VITA;MORENO FERRARI
CAMERA DEI DEPUTATI;VENETO 1;VENETO 1 - P01;VITA;ROSSANA GAI
CAMERA DEI DEPUTATI;VENETO 1;VENETO 1 - P01;VITA;DOMENICO D'AMICO
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P01;VITA;PAOLO GIROTTO
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P01;VITA;ANNA SAUTTO
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P01;VITA;MORENO FERRARI
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P01;VITA;SILVIA ZAMPELLI
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P02;VITA;SARA CUNIAL
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P02;VITA;BORIS VENTURA
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P02;VITA;MICHELA CATTOZZO
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P02;VITA;GIULIO QUADRI
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P03;VITA;RENATE HOLZEISEN
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P03;VITA;DOMENICO D'AMICO
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P03;VITA;CHIARA-STELLA SAUTTO
CAMERA DEI DEPUTATI;VENETO 2;VENETO 2 - P03;VITA;MORENO FERRARI
CAMERA DEI DEPUTATI;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - P01;VITA;UGO ROSSI
CAMERA DEI DEPUTATI;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - P01;VITA;AMBRA FEDRIGO
CAMERA DEI DEPUTATI;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - P01;VITA;MARCELLO DI FINIZIO
CAMERA DEI DEPUTATI;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - P01;VITA;KATIA TEDESCHI
CAMERA DEI DEPUTATI;LIGURIA;LIGURIA - P01;VITA;LUANA CIAMBELLINI
CAMERA DEI DEPUTATI;LIGURIA;LIGURIA - P01;VITA;ROBERTO FERRARA
CAMERA DEI DEPUTATI;LIGURIA;LIGURIA - P01;VITA;LUCIA CANEPA
