Dove;Circoscrizione;Collegio plurinominale;Lista;Candidato
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;MASTELLA NOI DI CENTRO EUROPEISTI;DANIELA REHO
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;MASTELLA NOI DI CENTRO EUROPEISTI;VIRGILIO MARETTO
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;MASTELLA NOI DI CENTRO EUROPEISTI;FRANCESCA CASSANO
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;MASTELLA NOI DI CENTRO EUROPEISTI;ANDREA COPPARONI
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;MASTELLA NOI DI CENTRO EUROPEISTI;JACOPO DOZIO
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;MASTELLA NOI DI CENTRO EUROPEISTI;DANIELA REHO
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;MASTELLA NOI DI CENTRO EUROPEISTI;FRANCESCO MARIA SABATINO
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;MASTELLA NOI DI CENTRO EUROPEISTI;NADIA DELLA CORTE
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;MASTELLA NOI DI CENTRO EUROPEISTI;JACOPO GERVASINI
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;MASTELLA NOI DI CENTRO EUROPEISTI;CATERINA DOMINGO
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;MASTELLA NOI DI CENTRO EUROPEISTI;GIUSEPPE MARIA QUINTO IOVINO
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;MASTELLA NOI DI CENTRO EUROPEISTI;CHIARA VAN ELLINKHUIZEN
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P02;MASTELLA NOI DI CENTRO EUROPEISTI;CHIARA VAN ELLINKHUIZEN
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P02;MASTELLA NOI DI CENTRO EUROPEISTI;ANGELO BELTRAMA
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P02;MASTELLA NOI DI CENTRO EUROPEISTI;MANUELA MOTTA
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P02;MASTELLA NOI DI CENTRO EUROPEISTI;JACOPO GERVASINI
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P01;MASTELLA NOI DI CENTRO EUROPEISTI;ELEONORA PRANDI
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P01;MASTELLA NOI DI CENTRO EUROPEISTI;ANDREA COPPARONI
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P01;MASTELLA NOI DI CENTRO EUROPEISTI;NADIA DELLA CORTE
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P01;MASTELLA NOI DI CENTRO EUROPEISTI;FRANCESCO MARIA SABATINO
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P02;MASTELLA NOI DI CENTRO EUROPEISTI;CHIARA BEZANTE
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P02;MASTELLA NOI DI CENTRO EUROPEISTI;VITO ROBERTO ROBLES
