Dove;Ripartizione;Lista;Candidato
CAMERA DEI DEPUTATI;EUROPA;AZIONE - ITALIA VIVA - CALENDA;MASSIMO UNGARO
CAMERA DEI DEPUTATI;EUROPA;AZIONE - ITALIA VIVA - CALENDA;LAURA GARAVINI
CAMERA DEI DEPUTATI;EUROPA;AZIONE - ITALIA VIVA - CALENDA;TATIANA GAUDIMONTE
CAMERA DEI DEPUTATI;EUROPA;AZIONE - ITALIA VIVA - CALENDA;BARBARA GALLINO
CAMERA DEI DEPUTATI;EUROPA;AZIONE - ITALIA VIVA - CALENDA;GIOVANNI PACIALEO
CAMERA DEI DEPUTATI;EUROPA;AZIONE - ITALIA VIVA - CALENDA;EMANUELA ROSSINI
CAMERA DEI DEPUTATI;AMERICA SETTENTRIONALE E CENTRALE;AZIONE - ITALIA VIVA - CALENDA;FRANCESCO CACCHIOLI
CAMERA DEI DEPUTATI;AMERICA SETTENTRIONALE E CENTRALE;AZIONE - ITALIA VIVA - CALENDA;CLAUDIO FEDERICO MARIA VIGNOLA
CAMERA DEI DEPUTATI;AMERICA SETTENTRIONALE E CENTRALE;AZIONE - ITALIA VIVA - CALENDA;VINCENZO PASCALE
CAMERA DEI DEPUTATI;AFRICA ASIA OCEANIA ANTARTIDE;AZIONE - ITALIA VIVA - CALENDA;SABRINA DE ROSA
CAMERA DEI DEPUTATI;AFRICA ASIA OCEANIA ANTARTIDE;AZIONE - ITALIA VIVA - CALENDA;ROSSANA DI BIANCO
SENATO;EUROPA;AZIONE - ITALIA VIVA - CALENDA;GOLAM MAULA TIPU
SENATO;EUROPA;AZIONE - ITALIA VIVA - CALENDA;ANGELO RENZETTI
SENATO;AMERICA MERIDIONALE;AZIONE - ITALIA VIVA - CALENDA;VINCENZO DI MARTINO
SENATO;AMERICA MERIDIONALE;AZIONE - ITALIA VIVA - CALENDA;MARCELO LUIS ROLAND ZOVICO
SENATO;AMERICA SETTENTRIONALE E CENTRALE;AZIONE - ITALIA VIVA - CALENDA;DANIELE SEVERI BRUNI
SENATO;AFRICA ASIA OCEANIA ANTARTIDE;AZIONE - ITALIA VIVA - CALENDA;FEDERICO BERCHI
