Dove;Regione;Elettori;Votanti;%;Schede nulle;Schede bianche;Schede contestate;Coalizioni e liste;Voti;%;Seggi;Candidati uninominali eletti;Totale
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;ALLEANZA VERDI E SINISTRA;10741;1,5;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;PIUEUROPA;8017;1,12;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;5002;0,7;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;AZIONE  ITALIA VIVA  CALENDA;28508;3,97;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;UNIONE POPOLARE CON DE MAGISTRIS;14729;2,05;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;ITALEXIT PER L'ITALIA;9778;1,36;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;ITALIA SOVRANA E POPOLARE;9554;1,33;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;PARTITO COMUNISTA ITALIANO;5194;0,72;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;SUD CHIAMA NORD;2894;0,4;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;ALTERNATIVA PER L'ITALIA  NO GREEN PASS;2176;0,3;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;PARTITO ANIMALISTA  UCDL  10 VOLTE MEGLIO;2067;0,29;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;VITA;1437;0,2;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;MASTELLA NOI DI CENTRO EUROPEISTI;1084;0,15;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;FORZA DEL POPOLO;873;0,12;;;
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;MOVIMENTO 5 STELLE;797815;34,67;4;4;8
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;764825;33,24;4;3;7
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;FRATELLI D'ITALIA CON GIORGIA MELONI;412491;17,93;2;;
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;FORZA ITALIA;245062;10,65;1;;
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;LEGA PER SALVINI PREMIER;93997;4,09;1;;
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;13275;0,58;;;
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA, ALLEANZA VERDI E SINISTRA, PiuEuropa, IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;511682;22,24;2;;2
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA;365388;15,88;2;;
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;ALLEANZA VERDI E SINISTRA;62043;2,7;;;
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;PIUEUROPA;49764;2,16;;;
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;34487;1,5;;;
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;AZIONE  ITALIA VIVA  CALENDA;121336;5,27;1;;1
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;UNIONE POPOLARE CON DE MAGISTRIS;45052;1,96;;;
SENATO;CAMPANIA;4510722;2403042;53,27;61548;40410;136;ITALEXIT PER L'ITALIA;32482;1,41;;;
