Dove;Circoscrizione;Collegio plurinominale;Lista;Candidato
SENATO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P01;DESTRE UNITE;DIVO PIRINI
SENATO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P01;DESTRE UNITE;YOLANDA ANNA CHRISTINA BRIGHI
SENATO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P01;DESTRE UNITE;BRUNO SAVINI
SENATO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P01;DESTRE UNITE;ROMINA SANZANI
SENATO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P02;DESTRE UNITE;YOLANDA ANNA CHRISTINA BRIGHI
SENATO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P02;DESTRE UNITE;ROBERTO SANZANI
SENATO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P02;DESTRE UNITE;ROMINA SANZANI
SENATO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P02;DESTRE UNITE;DIVO PIRINI
