Dove;Circoscrizione;Collegio plurinominale;Lista;Candidato
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;ITALIA SOVRANA E POPOLARE;MARCO RIZZO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;ITALIA SOVRANA E POPOLARE;DANIELA TALARICO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;ITALIA SOVRANA E POPOLARE;CLAUDIO MESSORA
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;ITALIA SOVRANA E POPOLARE;DANIELA LAURA TEODORI
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;ITALIA SOVRANA E POPOLARE;FRANCESCO TOSCANO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;ITALIA SOVRANA E POPOLARE;DOMENICA FOLLINO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;ITALIA SOVRANA E POPOLARE;PAOLO BORGOGNONE
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;ITALIA SOVRANA E POPOLARE;ELISA BONDA
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;ITALIA SOVRANA E POPOLARE;BIANCA LAURA GRANATO
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;ITALIA SOVRANA E POPOLARE;MATTIA BIANCHI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;ITALIA SOVRANA E POPOLARE;MARIA ROSA LORIGA
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;ITALIA SOVRANA E POPOLARE;CLAUDIO MESSORA
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;ITALIA SOVRANA E POPOLARE;CLAUDIO MESSORA
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;ITALIA SOVRANA E POPOLARE;DANIELA TALARICO
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;ITALIA SOVRANA E POPOLARE;ROBERTO DI PRIMA
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;ITALIA SOVRANA E POPOLARE;ANNA MARIA OTTAVIANO IVOLI
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;ITALIA SOVRANA E POPOLARE;FRANCESCO TOSCANO
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;ITALIA SOVRANA E POPOLARE;DANIELA MOSCA
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;ITALIA SOVRANA E POPOLARE;GENNARO NICOLA VEDOVINO
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;ITALIA SOVRANA E POPOLARE;PATRIZIA CHIARA PEDRANI
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;ITALIA SOVRANA E POPOLARE;MARCO RIZZO
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;ITALIA SOVRANA E POPOLARE;ANTONELLA D'ANGELI
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;ITALIA SOVRANA E POPOLARE;MATTIA BIANCHI
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;ITALIA SOVRANA E POPOLARE;YADIANY BUENO GONZALEZ
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;ITALIA SOVRANA E POPOLARE;DANIELA MOSCA
