Dove;Circoscrizione;Collegio plurinominale;Lista;Candidato
CAMERA DEI DEPUTATI;TRENTINO-ALTO ADIGE/SÜDTIROL;TRENTINO-ALTO ADIGE/SÜDTIROL - P01;SŰDTIROLER VOLKSPARTEI (SVP) - PATT;DIETER STEGER
CAMERA DEI DEPUTATI;TRENTINO-ALTO ADIGE/SÜDTIROL;TRENTINO-ALTO ADIGE/SÜDTIROL - P01;SŰDTIROLER VOLKSPARTEI (SVP) - PATT;DAIANA BOLLER
CAMERA DEI DEPUTATI;TRENTINO-ALTO ADIGE/SÜDTIROL;TRENTINO-ALTO ADIGE/SÜDTIROL - P01;SŰDTIROLER VOLKSPARTEI (SVP) - PATT;MAURO AGOSTI
