"Coalizione","Dove","Partito","Circoscrizione","Collegio Uninominale","Città principale","Candidato"
"Centrodestra","Senato","-","Toscana","Toscana - U02","Livorno","Manfredi Potenti"
"Centrodestra","Senato","-","Toscana","Toscana - U03","Prato","Patrizio Giacomo La Pietra"
"Centrodestra","Senato","-","Toscana","Toscana - U04","Firenze","Federica Picchi"
"Centrodestra","Senato","-","Trentino-Alto Adige/Südtirol","Trentino-Alto Adige/Südtirol -
U01","Trento","COALIZIONE"
"Centrodestra","Senato","-","Trentino-Alto Adige/Südtirol","Trentino-Alto Adige/Südtirol -
U02","Rovereto","COALIZIONE"
"Centrodestra","Senato","-","Trentino-Alto Adige/Südtirol","Trentino-Alto Adige/Südtirol -
U03","Pergine Valsugana","COALIZIONE"
"Centrodestra","Senato","-","Trentino-Alto Adige/Südtirol","Trentino-Alto Adige/Südtirol -
U04","Bolzano/Bozen","COALIZIONE"
"Centrodestra","Senato","-","Trentino-Alto Adige/Südtirol","Trentino-Alto Adige/Südtirol -
U05","Merano/Meran","COALIZIONE"
"Centrodestra","Senato","-","Trentino-Alto Adige/Südtirol","Trentino-Alto Adige/Südtirol -
U06","Bressanone/Brixen","COALIZIONE"
"Centrodestra","Senato","-","Umbria","Umbria - U01","Perugia","Francesco Zaffini"
"Centrodestra","Senato","-","Valle d'Aosta","Valle d'aosta/Vallée d'Aoste -
U01","Aosta","Nicoletta Spelgatti"
"Centrodestra","Senato","-","Veneto","Veneto - U01","Venezia","Raffaele Speranzon"
"Centrodestra","Senato","-","Veneto","Veneto - U02","Treviso","Luca De Carlo"
"Centrodestra","Senato","-","Veneto","Veneto - U03","Padova","Anna Maria Bernini"
"Centrodestra","Senato","-","Veneto","Veneto - U04","Vicenza","Mara Bizzotto"
"Centrodestra","Senato","-","Veneto","Veneto - U05","Verona","Paolo Tosato"
"Centrosinistra","Senato","-","Abruzzo","Abruzzo - U01","Pescara","Massimo Carugno"
"Centrosinistra","Senato","-","Basilicata","Basilicata - U01","Potenza","Ignazio Petrone"
"Centrosinistra","Senato","-","Calabria","Calabria - U01","Corigliano-Rossano","Francesca Dorato"
"Centrosinistra","Senato","-","Calabria","Calabria - U02","Reggio di Calabria","Francesco Pitaro"
"Centrosinistra","Senato","-","Campania","Campania - U01","Caserta","Tommaso De Simone"
"Centrosinistra","Senato","-","Campania","Campania - U02","Benevento","Carlo Iannace"
"Centrosinistra","Senato","-","Campania","Campania - U03","Salerno","Anna Petrone"
"Centrosinistra","Senato","-","Campania","Campania - U04","Napoli","Valeria Valente"
"Centrosinistra","Senato","-","Campania","Campania - U05","Giugliano in Campania","Davide Crippa"
"Centrosinistra","Senato","-","Campania","Campania - U06","Torre del Greco","Nora Di Nocera"
"Centrosinistra","Senato","-","Campania","Campania - U07","Acerra","Leonardo Impegno"
"Centrosinistra","Senato","-","Emilia-Romagna","Emilia-Romagna - U01","Parma","Giuseppe Negri"
"Centrosinistra","Senato","-","Emilia-Romagna","Emilia-Romagna - U02","Modena","Vincenza Rando"
