"Dove","Regione","Elettori","Votanti","Percentuale votanti","Schede nulle","Schede bianche","Schede contestate","Coalizioni e liste","Voti","Percentuale voti","Seggi","Candidati uninominali eletti","Totale"
"CAMERA","BASILICATA",446685,262520,58.77,10978,7087,2,"ITALEXIT PER L'ITALIA",3525,"1.44",NA,NA,NA
"CAMERA","BASILICATA",446685,262520,58.77,10978,7087,2,"ITALIA SOVRANA E POPOLARE",2638,"1.08",NA,NA,NA
"CAMERA","BASILICATA",446685,262520,58.77,10978,7087,2,"PARTITO COMUNISTA ITALIANO",2304,"0.94",NA,NA,NA
"CAMERA","BASILICATA",446685,262520,58.77,10978,7087,2,"MASTELLA NOI DI CENTRO EUROPEISTI",956,"0.39",NA,NA,NA
"CAMERA","CALABRIA",1496834,760354,5.08,23165,17608,70,"FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC",297541,"41.35","4",4,8
"CAMERA","CALABRIA",1496834,760354,5.08,23165,17608,70,"FRATELLI D'ITALIA CON GIORGIA MELONI",136479,"18.97","2",NA,NA
"CAMERA","CALABRIA",1496834,760354,5.08,23165,17608,70,"FORZA ITALIA",112211,"15.6","1",NA,NA
"CAMERA","CALABRIA",1496834,760354,5.08,23165,17608,70,"LEGA PER SALVINI PREMIER",41676,"5.79","1",NA,NA
"CAMERA","CALABRIA",1496834,760354,5.08,23165,17608,70,"NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC",7175,"1",NA,NA,NA
"CAMERA","CALABRIA",1496834,760354,5.08,23165,17608,70,"MOVIMENTO 5 STELLE",211390,"29.38","2",1,3
"CAMERA","CALABRIA",1496834,760354,5.08,23165,17608,70,"PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA, ALLEANZA VERDI E SINISTRA, PiuEuropa, IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO",130605,"18.15","2",NA,NA
"CAMERA","CALABRIA",1496834,760354,5.08,23165,17608,70,"PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA",103315,"14.36","2",NA,NA
"CAMERA","CALABRIA",1496834,760354,5.08,23165,17608,70,"ALLEANZA VERDI E SINISTRA",13050,"1.81",NA,NA,NA
"CAMERA","CALABRIA",1496834,760354,5.08,23165,17608,70,"PIUEUROPA",7820,"1.09",NA,NA,NA
"CAMERA","CALABRIA",1496834,760354,5.08,23165,17608,70,"IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO",6420,"0.89",NA,NA,NA
"CAMERA","CALABRIA",1496834,760354,5.08,23165,17608,70,"AZIONE  ITALIA VIVA  CALENDA",29810,"4.14",NA,NA,NA
