"Dove","Regione","Elettori","Votanti","%","Schede nulle","Schede bianche","Schede contestate","Coalizioni e liste","Voti","%","Seggi","Candidati uninominali eletti","Totale"
"CAMERA","ABRUZZO","1.026.974","657.134",6399,19.408,11.905,69,"FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC","298.684","47,73",3,3,6
"CAMERA","ABRUZZO","1.026.974","657.134",6399,19.408,11.905,69,"FRATELLI D'ITALIA CON GIORGIA MELONI","174.548","27,89",2,NA,NA
"CAMERA","ABRUZZO","1.026.974","657.134",6399,19.408,11.905,69,"FORZA ITALIA","69.488","11,1",1,NA,NA
"CAMERA","ABRUZZO","1.026.974","657.134",6399,19.408,11.905,69,"LEGA PER SALVINI PREMIER","50.374","8,05",NA,NA,NA
"CAMERA","ABRUZZO","1.026.974","657.134",6399,19.408,11.905,69,"NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC","4.274","0,68",NA,NA,NA
"CAMERA","ABRUZZO","1.026.974","657.134",6399,19.408,11.905,69,"PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA, ALLEANZA VERDI E SINISTRA, PiuEuropa, IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO","137.269","21,94",2,NA,2
"CAMERA","ABRUZZO","1.026.974","657.134",6399,19.408,11.905,69,"PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA","104.047","16,63",2,NA,NA
"CAMERA","ABRUZZO","1.026.974","657.134",6399,19.408,11.905,69,"ALLEANZA VERDI E SINISTRA","16.946","2,71",NA,NA,NA
"CAMERA","ABRUZZO","1.026.974","657.134",6399,19.408,11.905,69,"PIUEUROPA","12.356","1,97",NA,NA,NA
"CAMERA","ABRUZZO","1.026.974","657.134",6399,19.408,11.905,69,"IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO","3.920","0,63",NA,NA,NA
"CAMERA","ABRUZZO","1.026.974","657.134",6399,19.408,11.905,69,"MOVIMENTO 5 STELLE","115.456","18,45",1,NA,1
"CAMERA","ABRUZZO","1.026.974","657.134",6399,19.408,11.905,69,"AZIONE  ITALIA VIVA  CALENDA","39.311","6,28",NA,NA,NA
"CAMERA","ABRUZZO","1.026.974","657.134",6399,19.408,11.905,69,"ITALEXIT PER L'ITALIA","11.494","1,84",NA,NA,NA
"CAMERA","ABRUZZO","1.026.974","657.134",6399,19.408,11.905,69,"UNIONE POPOLARE CON DE MAGISTRIS","10.774","1,72",NA,NA,NA
"CAMERA","ABRUZZO","1.026.974","657.134",6399,19.408,11.905,69,"ITALIA SOVRANA E POPOLARE","6.931","1,11",NA,NA,NA
"CAMERA","ABRUZZO","1.026.974","657.134",6399,19.408,11.905,69,"VITA","2.963","0,47",NA,NA,NA
"CAMERA","ABRUZZO","1.026.974","657.134",6399,19.408,11.905,69,"ALTERNATIVA PER L'ITALIA  NO GREEN PASS","1.708","0,27",NA,NA,NA
"CAMERA","ABRUZZO","1.026.974","657.134",6399,19.408,11.905,69,"SUD CHIAMA NORD","1.162","0,19",NA,NA,NA
"CAMERA","BASILICATA","446.685","262.52",5877,10.978,7.087,2,"FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC","93.648","38,31",1,1,2
"CAMERA","BASILICATA","446.685","262.52",5877,10.978,7.087,2,"FRATELLI D'ITALIA CON GIORGIA MELONI","44.396","18,16",1,NA,NA
"CAMERA","BASILICATA","446.685","262.52",5877,10.978,7.087,2,"FORZA ITALIA","22.874","9,36",NA,NA,NA
"CAMERA","BASILICATA","446.685","262.52",5877,10.978,7.087,2,"LEGA PER SALVINI PREMIER","21.946","8,98",NA,NA,NA
"CAMERA","BASILICATA","446.685","262.52",5877,10.978,7.087,2,"NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC","4.432","1,81",NA,NA,NA
"CAMERA","BASILICATA","446.685","262.52",5877,10.978,7.087,2,"MOVIMENTO 5 STELLE","61.114","25",1,NA,1
"CAMERA","BASILICATA","446.685","262.52",5877,10.978,7.087,2,"PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA, ALLEANZA VERDI E SINISTRA, PiuEuropa, IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO","52.781","21,59",1,NA,1
"CAMERA","BASILICATA","446.685","262.52",5877,10.978,7.087,2,"PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA","37.147","15,2",1,NA,NA
"CAMERA","BASILICATA","446.685","262.52",5877,10.978,7.087,2,"ALLEANZA VERDI E SINISTRA","8.348","3,41",NA,NA,NA
"CAMERA","BASILICATA","446.685","262.52",5877,10.978,7.087,2,"PIUEUROPA","5.104","2,09",NA,NA,NA
"CAMERA","BASILICATA","446.685","262.52",5877,10.978,7.087,2,"IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO","2.182","0,89",NA,NA,NA
