Circoscrizione;Collegio Uninominale;Coalizione/lista;Candidato
TOSCANA;TOSCANA - U05;FORZA ITALIA,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;CHIARA TENERINI
TOSCANA;TOSCANA - U05;MOVIMENTO 5 STELLE;STELLA SORGENTE
TOSCANA;TOSCANA - U05;ITALEXIT PER L'ITALIA;COSTANZA VACCARO
TOSCANA;TOSCANA - U09;AZIONE - ITALIA VIVA - CALENDA;LUCIA CHERICI
TOSCANA;TOSCANA - U09;ITALIA SOVRA E POPOLARE;ROSALBA FANCIULLI
TOSCANA;TOSCANA - U09;VITA;SABRINA MANCINI
TOSCANA;TOSCANA - U09;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,+EUROPA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA;VINCENZO CECCARELLI
TOSCANA;TOSCANA - U09;UNIONE POPOLARE CON DE MAGISTRIS;CRISTIANO ROSSI
TOSCANA;TOSCANA - U09;FORZA ITALIA,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;TIZIANA NISINI
TOSCANA;TOSCANA - U09;MOVIMENTO 5 STELLE;TOMMASO PIERAZZI
TOSCANA;TOSCANA - U09;ITALEXIT PER L'ITALIA;SANDRA PICCHI
TOSCANA;TOSCANA - U04;AZIONE - ITALIA VIVA - CALENDA;MICHELE LIO PASSARELLI
TOSCANA;TOSCANA - U04;ITALIA SOVRA E POPOLARE;FRANCESCO SALE
TOSCANA;TOSCANA - U04;VITA;SABINA BARGAGNA
TOSCANA;TOSCANA - U04;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,+EUROPA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA;STEFANO CECCANTI
TOSCANA;TOSCANA - U04;UNIONE POPOLARE CON DE MAGISTRIS;STEFANO TEOTINO
TOSCANA;TOSCANA - U04;FORZA ITALIA,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;EDOARDO ZIELLO
TOSCANA;TOSCANA - U04;MOVIMENTO 5 STELLE;CLAUDIO LOCONSOLE
TOSCANA;TOSCANA - U04;ITALEXIT PER L'ITALIA;MANUELA TERRANOVA
TOSCANA;TOSCANA - U07;AZIONE - ITALIA VIVA - CALENDA;LUCIA ANNIBALI
TOSCANA;TOSCANA - U07;ITALIA SOVRA E POPOLARE;MASSIMO ORLANDINI
TOSCANA;TOSCANA - U07;VITA;FATIMA FRANGIONI
TOSCANA;TOSCANA - U07;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,+EUROPA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA;FEDERICO GIANASSI
TOSCANA;TOSCANA - U07;UNIONE POPOLARE CON DE MAGISTRIS;STEFANO CECCHI
TOSCANA;TOSCANA - U07;FORZA ITALIA,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;ANGELA SIRELLO
TOSCANA;TOSCANA - U07;MOVIMENTO 5 STELLE;ANDREA QUARTINI
TOSCANA;TOSCANA - U07;ITALEXIT PER L'ITALIA;VERA BALSIMELLI
TOSCANA;TOSCANA - U08;AZIONE - ITALIA VIVA - CALENDA;GABRIELE TOCCAFONDI
TOSCANA;TOSCANA - U08;ITALIA SOVRA E POPOLARE;AMBRA RONCUCCI
TOSCANA;TOSCANA - U08;VITA;LUCA BANDINI
TOSCANA;TOSCANA - U08;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,+EUROPA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA;EMILIANO FOSSI
TOSCANA;TOSCANA - U08;UNIONE POPOLARE CON DE MAGISTRIS;SAMUELA MARCONCINI
TOSCANA;TOSCANA - U08;FORZA ITALIA,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;CHIARA MAZZEI
TOSCANA;TOSCANA - U08;MOVIMENTO 5 STELLE;MARIA LETIZIA MAGNELLI
TOSCANA;TOSCANA - U08;ITALEXIT PER L'ITALIA;DANIELE FALCIAI
UMBRIA;UMBRIA - U01;AZIONE - ITALIA VIVA - CALENDA;FRANCO RAIMONDO BARBABELLA
UMBRIA;UMBRIA - U01;ITALIA SOVRA E POPOLARE;MATTEO NATALINI
UMBRIA;UMBRIA - U01;MOVIMENTO 5 STELLE;ILARIA GABRIELLI
UMBRIA;UMBRIA - U01;UNIONE POPOLARE CON DE MAGISTRIS;BENEDETTA CALDERIGI
UMBRIA;UMBRIA - U01;ALLEANZA VERDI E SINISTRA,+EUROPA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;FRANCESCO DE REBOTTI
UMBRIA;UMBRIA - U01;ITALEXIT PER L'ITALIA;ANDREA BINDOCCI
UMBRIA;UMBRIA - U01;MASTELLA NOI DI CENTRO EUROPEISTI;VALENTINA MARIA CARMELA PARISI
UMBRIA;UMBRIA - U01;PARTITO COMUNISTA ITALIANO;ANNA DE CARLO
UMBRIA;UMBRIA - U01;VITA;ALESSANDRA GARAFFA
UMBRIA;UMBRIA - U01;FRATELLI D'ITALIA CON GIORGIA MELONI,LEGA PER SALVINI PREMIER,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;RAFFAELE NEVI
UMBRIA;UMBRIA - U02;AZIONE - ITALIA VIVA - CALENDA;CARLA CASCIARI
UMBRIA;UMBRIA - U02;ITALIA SOVRA E POPOLARE;PATRIZIA CASAVECCHIA
UMBRIA;UMBRIA - U02;MOVIMENTO 5 STELLE;ALESSANDRA RUFFINI
UMBRIA;UMBRIA - U02;UNIONE POPOLARE CON DE MAGISTRIS;ROBERTO GHIANDONI
UMBRIA;UMBRIA - U02;ALLEANZA VERDI E SINISTRA,+EUROPA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;STEFANO VINTI
UMBRIA;UMBRIA - U02;ITALEXIT PER L'ITALIA;MAELA PERAIO
UMBRIA;UMBRIA - U02;MASTELLA NOI DI CENTRO EUROPEISTI;GIOVANNI ANTONIO COCCO
UMBRIA;UMBRIA - U02;PARTITO COMUNISTA ITALIANO;MATTEO GALLI
UMBRIA;UMBRIA - U02;VITA;DAVID URRU
UMBRIA;UMBRIA - U02;FRATELLI D'ITALIA CON GIORGIA MELONI,LEGA PER SALVINI PREMIER,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;VIRGINIO CAPARVI
MARCHE;MARCHE - U01;AZIONE - ITALIA VIVA - CALENDA;MARIA STELLA ORIGLIA
MARCHE;MARCHE - U01;PARTITO COMUNISTA ITALIANO;RUGGERO GIACOMINI
MARCHE;MARCHE - U01;ITALIA SOVRA E POPOLARE;CATIA JACHETTI
MARCHE;MARCHE - U01;VITA;MARIA TERESA TARONI
MARCHE;MARCHE - U01;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA,+EUROPA;MERI MARZIALI
MARCHE;MARCHE - U01;UNIONE POPOLARE CON DE MAGISTRIS;DILETTA PARRINO
MARCHE;MARCHE - U01;LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI;FRANCESCO BATTISTONI
MARCHE;MARCHE - U01;MOVIMENTO 5 STELLE;GIORGIO FEDE
MARCHE;MARCHE - U01;ALTERTIVA PER L'ITALIA - NO GREEN PASS;OSCAR PIERGALLINI
MARCHE;MARCHE - U01;ITALEXIT PER L'ITALIA;GUIDO OLIVIERI
MARCHE;MARCHE - U02;AZIONE - ITALIA VIVA - CALENDA;MARIANO CALAMITA
MARCHE;MARCHE - U02;PARTITO COMUNISTA ITALIANO;DANIELE CARDINALI
MARCHE;MARCHE - U02;ITALIA SOVRA E POPOLARE;ALESSANDRA PERUGINI
MARCHE;MARCHE - U02;VITA;ALESSANDRA CONTIGIANI
MARCHE;MARCHE - U02;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA,+EUROPA;FULVIO ESPOSITO
MARCHE;MARCHE - U02;UNIONE POPOLARE CON DE MAGISTRIS;SIMONE MARINCIONI
MARCHE;MARCHE - U02;LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI;GIORGIA LATINI
MARCHE;MARCHE - U02;MOVIMENTO 5 STELLE;MIRELLA EMILIOZZI
MARCHE;MARCHE - U02;ALTERTIVA PER L'ITALIA - NO GREEN PASS;CLARA FERRANTI
MARCHE;MARCHE - U02;ITALEXIT PER L'ITALIA;KATJUSCIA DELMONTE
MARCHE;MARCHE - U03;AZIONE - ITALIA VIVA - CALENDA;FRANCESCA CANTARINI
MARCHE;MARCHE - U03;PARTITO COMUNISTA ITALIANO;ROBERTA COLETTA
MARCHE;MARCHE - U03;ITALIA SOVRA E POPOLARE;ANDREA GRILLI
MARCHE;MARCHE - U03;VITA;PAOLO SANDONNINI
MARCHE;MARCHE - U03;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA,+EUROPA;ANTONIO MASTROVINCENZO
MARCHE;MARCHE - U03;UNIONE POPOLARE CON DE MAGISTRIS;ANNA MAURIZI
MARCHE;MARCHE - U03;LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI;STEFANO MARIA BENVENUTI GOSTOLI
MARCHE;MARCHE - U03;MOVIMENTO 5 STELLE;GABRIELE SANTARELLI
MARCHE;MARCHE - U03;ALTERTIVA PER L'ITALIA - NO GREEN PASS;FABIO SEBASTIANELLI
MARCHE;MARCHE - U03;ITALEXIT PER L'ITALIA;MASSIMO GIANANGELI
MARCHE;MARCHE - U04;AZIONE - ITALIA VIVA - CALENDA;FEDERICO TALE'
MARCHE;MARCHE - U04;PARTITO COMUNISTA ITALIANO;CHIARA PIZZORNO
MARCHE;MARCHE - U04;ITALIA SOVRA E POPOLARE;DALIBOR CVEJIC
MARCHE;MARCHE - U04;VITA;ALESSIO CANALINI
MARCHE;MARCHE - U04;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA,+EUROPA;GIORDANO MASINI
MARCHE;MARCHE - U04;UNIONE POPOLARE CON DE MAGISTRIS;RENZO SAVELLI
MARCHE;MARCHE - U04;LEGA PER SALVINI PREMIER,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI;MIRCO CARLONI
MARCHE;MARCHE - U04;MOVIMENTO 5 STELLE;ROSSELLA ACCOTO
MARCHE;MARCHE - U04;ALTERTIVA PER L'ITALIA - NO GREEN PASS;LORENA NARCISI
MARCHE;MARCHE - U04;ITALEXIT PER L'ITALIA;STEFANO PUZZER
LAZIO 1;LAZIO 1 - U01;VITA;MARIA CARSANA
LAZIO 1;LAZIO 1 - U01;MOVIMENTO 5 STELLE;LIVIO DE SANTOLI
LAZIO 1;LAZIO 1 - U01;UNIONE POPOLARE CON DE MAGISTRIS;ELISABETTA CANITANO
LAZIO 1;LAZIO 1 - U01;ALTERTIVA PER L'ITALIA - NO GREEN PASS;SIMONE DI STEFANO
LAZIO 1;LAZIO 1 - U01;ITALIA SOVRA E POPOLARE;FABIO MASSIMO VERNILLO
LAZIO 1;LAZIO 1 - U01;PARTITO DELLA FOLLIA CREATIVA;GIUSEPPE CIRILLO
LAZIO 1;LAZIO 1 - U01;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA,+EUROPA;PAOLO CIANI
LAZIO 1;LAZIO 1 - U01;ITALEXIT PER L'ITALIA;GIOVANNI FRAJESE
LAZIO 1;LAZIO 1 - U01;AZIONE - ITALIA VIVA - CALENDA;ELENA BONETTI
LAZIO 1;LAZIO 1 - U01;NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;MARIA SPENA
LAZIO 1;LAZIO 1 - U02;VITA;DAVIDE BARILLARI
LAZIO 1;LAZIO 1 - U02;MOVIMENTO 5 STELLE;MANUEL TUZI
LAZIO 1;LAZIO 1 - U02;UNIONE POPOLARE CON DE MAGISTRIS;RAUL MORDENTI
LAZIO 1;LAZIO 1 - U02;ALTERTIVA PER L'ITALIA - NO GREEN PASS;MICHELA ESPOSITO
LAZIO 1;LAZIO 1 - U02;ITALIA SOVRA E POPOLARE;EMANUELE LUCA
LAZIO 1;LAZIO 1 - U02;PARTITO DELLA FOLLIA CREATIVA;GIULIA CASTELLI
LAZIO 1;LAZIO 1 - U02;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA,+EUROPA;ENZO FOSCHI
LAZIO 1;LAZIO 1 - U02;ITALEXIT PER L'ITALIA;GIORGIA VENERANDI
LAZIO 1;LAZIO 1 - U02;AZIONE - ITALIA VIVA - CALENDA;FABIO DIONISI
LAZIO 1;LAZIO 1 - U02;NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;SIMONETTA MATONE
LAZIO 1;LAZIO 1 - U03;VITA;MASSIMO FIORANELLI
LAZIO 1;LAZIO 1 - U03;MOVIMENTO 5 STELLE;ANGELA SALAFIA
LAZIO 1;LAZIO 1 - U03;UNIONE POPOLARE CON DE MAGISTRIS;ELEONORA FORENZA
LAZIO 1;LAZIO 1 - U03;ALTERTIVA PER L'ITALIA - NO GREEN PASS;ANTONIO CASINI
LAZIO 1;LAZIO 1 - U03;ITALIA SOVRA E POPOLARE;ARNALDO VITANGELI
LAZIO 1;LAZIO 1 - U03;PARTITO DELLA FOLLIA CREATIVA;ALBERTO PELLEGRINO
LAZIO 1;LAZIO 1 - U03;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA,+EUROPA;ROSSELLA MURONI
LAZIO 1;LAZIO 1 - U03;ITALEXIT PER L'ITALIA;LUCA RAIMONDI
LAZIO 1;LAZIO 1 - U03;AZIONE - ITALIA VIVA - CALENDA;MARTA MARZIALI
LAZIO 1;LAZIO 1 - U03;NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;FABIO RAMPELLI
LAZIO 1;LAZIO 1 - U04;VITA;LAURA RUZZA
LAZIO 1;LAZIO 1 - U04;MOVIMENTO 5 STELLE;FRANCESCA FLATI
LAZIO 1;LAZIO 1 - U04;UNIONE POPOLARE CON DE MAGISTRIS;CHIARA PRATO
LAZIO 1;LAZIO 1 - U04;ITALIA SOVRA E POPOLARE;SAVERIO ROMEO
LAZIO 1;LAZIO 1 - U04;PARTITO DELLA FOLLIA CREATIVA;DALILA GALLOZZI
LAZIO 1;LAZIO 1 - U04;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA,+EUROPA;ROBERTO MORASSUT
LAZIO 1;LAZIO 1 - U04;ITALEXIT PER L'ITALIA;ALESSANDRA COTTA
LAZIO 1;LAZIO 1 - U04;AZIONE - ITALIA VIVA - CALENDA;LUCA DI EGIDIO
LAZIO 1;LAZIO 1 - U04;NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;MARIA TERESA BELLUCCI
LAZIO 1;LAZIO 1 - U08;VITA;ANTONELLA ERCOLI
LAZIO 1;LAZIO 1 - U08;MOVIMENTO 5 STELLE;SANTE NARCISI
LAZIO 1;LAZIO 1 - U08;UNIONE POPOLARE CON DE MAGISTRIS;ELENA MAZZONI
LAZIO 1;LAZIO 1 - U08;ITALIA SOVRA E POPOLARE;PAOLO INDELICATO
LAZIO 1;LAZIO 1 - U08;PARTITO DELLA FOLLIA CREATIVA;GIANLUCA DI BENEDETTO
LAZIO 1;LAZIO 1 - U08;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA,+EUROPA;ROSALBA GIANNINO
LAZIO 1;LAZIO 1 - U08;ITALEXIT PER L'ITALIA;VALERIO SCALIA
LAZIO 1;LAZIO 1 - U08;AZIONE - ITALIA VIVA - CALENDA;ROBERTO MASTROSANTI
LAZIO 1;LAZIO 1 - U08;NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;ANTONIO TAJANI
LAZIO 1;LAZIO 1 - U09;VITA;NEMESIO RINALDI
LAZIO 1;LAZIO 1 - U09;MOVIMENTO 5 STELLE;VIVIANA CARBONARA
LAZIO 1;LAZIO 1 - U09;UNIONE POPOLARE CON DE MAGISTRIS;ROBERTO PENNA
LAZIO 1;LAZIO 1 - U09;ITALIA SOVRA E POPOLARE;MATTEO DI COCCO
LAZIO 1;LAZIO 1 - U09;PARTITO DELLA FOLLIA CREATIVA;CONCETTA SANTONASTASO
LAZIO 1;LAZIO 1 - U09;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA,+EUROPA;MARCO VINCENZI
LAZIO 1;LAZIO 1 - U09;ITALEXIT PER L'ITALIA;GIANNI GOLIA
LAZIO 1;LAZIO 1 - U09;AZIONE - ITALIA VIVA - CALENDA;GIOVANNA MARCHESE
LAZIO 1;LAZIO 1 - U09;NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;ALESSANDRO PALOMBI
LAZIO 1;LAZIO 1 - U05;VITA;MIRELLA ALTIERI
LAZIO 1;LAZIO 1 - U05;MOVIMENTO 5 STELLE;MARCO BELLA
LAZIO 1;LAZIO 1 - U05;UNIONE POPOLARE CON DE MAGISTRIS;BRUNO LEONARDUZZI DURANTI
LAZIO 1;LAZIO 1 - U05;ALTERTIVA PER L'ITALIA - NO GREEN PASS;MASSIMILIANO PUGLIESE
LAZIO 1;LAZIO 1 - U05;ITALIA SOVRA E POPOLARE;LAURA MONTECCHI
LAZIO 1;LAZIO 1 - U05;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA,+EUROPA;PATRIZIA PRESTIPINO
LAZIO 1;LAZIO 1 - U05;ITALEXIT PER L'ITALIA;ANITA CIERVO
LAZIO 1;LAZIO 1 - U05;AZIONE - ITALIA VIVA - CALENDA;PIETRO MADONIA
LAZIO 1;LAZIO 1 - U05;NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;ALESSANDRO BATTILOCCHIO
LAZIO 1;LAZIO 1 - U06;VITA;ANNALISA BUCCIERI
LAZIO 1;LAZIO 1 - U06;MOVIMENTO 5 STELLE;EMANUELE CECCATO
LAZIO 1;LAZIO 1 - U06;UNIONE POPOLARE CON DE MAGISTRIS;MASSIMO ARCANGELI
LAZIO 1;LAZIO 1 - U06;ALTERTIVA PER L'ITALIA - NO GREEN PASS;JESSICA AVERSA
LAZIO 1;LAZIO 1 - U06;ITALIA SOVRA E POPOLARE;SALVATORE GIUSEPPE TODARO
LAZIO 1;LAZIO 1 - U06;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA,+EUROPA;CLAUDIO MANCINI
LAZIO 1;LAZIO 1 - U06;ITALEXIT PER L'ITALIA;ANDREA PERILLO
LAZIO 1;LAZIO 1 - U06;AZIONE - ITALIA VIVA - CALENDA;FRANCESCA SEVERI
LAZIO 1;LAZIO 1 - U06;NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;LUCIANO CIOCCHETTI
LAZIO 1;LAZIO 1 - U07;VITA;ANDREA MENCARELLI
LAZIO 1;LAZIO 1 - U07;MOVIMENTO 5 STELLE;CAROLA PENNA
LAZIO 1;LAZIO 1 - U07;UNIONE POPOLARE CON DE MAGISTRIS;CLAUDIO STAMEGNA
LAZIO 1;LAZIO 1 - U07;ALTERTIVA PER L'ITALIA - NO GREEN PASS;MASSIMO BOSCHI
LAZIO 1;LAZIO 1 - U07;ITALIA SOVRA E POPOLARE;PAOLO GULISANO
LAZIO 1;LAZIO 1 - U07;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA,+EUROPA;CARLO ROMANO
LAZIO 1;LAZIO 1 - U07;ITALEXIT PER L'ITALIA;CARLOTTA CHIARALUCE
LAZIO 1;LAZIO 1 - U07;AZIONE - ITALIA VIVA - CALENDA;VALENTINA GRIPPO
LAZIO 1;LAZIO 1 - U07;NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA;FEDERICO FRENI
LAZIO 2;LAZIO 2 - U01;MOVIMENTO 5 STELLE;ROSITA CICORIA
LAZIO 2;LAZIO 2 - U01;UNIONE POPOLARE CON DE MAGISTRIS;MASSIMO RANUCCI
LAZIO 2;LAZIO 2 - U01;NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI;MAURO ROTELLI
LAZIO 2;LAZIO 2 - U01;ITALEXIT PER L'ITALIA;STEFANIA RANIERI
LAZIO 2;LAZIO 2 - U01;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA,+EUROPA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;LINDA FERRETTI
LAZIO 2;LAZIO 2 - U01;ITALIA SOVRA E POPOLARE;ANDREA NISI
LAZIO 2;LAZIO 2 - U01;AZIONE - ITALIA VIVA - CALENDA;LISETTA CIAMBELLA
LAZIO 2;LAZIO 2 - U02;MOVIMENTO 5 STELLE;ROBERTO CASANICA
LAZIO 2;LAZIO 2 - U02;UNIONE POPOLARE CON DE MAGISTRIS;SARA MAROCCHI
LAZIO 2;LAZIO 2 - U02;NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI;PAOLO TRANCASSINI
LAZIO 2;LAZIO 2 - U02;ITALEXIT PER L'ITALIA;ALESSIO CATONI
LAZIO 2;LAZIO 2 - U02;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA,+EUROPA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;ALESSANDRA CLEMENTINI
LAZIO 2;LAZIO 2 - U02;ITALIA SOVRA E POPOLARE;NICOLETTA CAROTTI
LAZIO 2;LAZIO 2 - U02;AZIONE - ITALIA VIVA - CALENDA;VINCENZO MARCORELLI
LAZIO 2;LAZIO 2 - U03;MOVIMENTO 5 STELLE;GIANLUCA BONO
LAZIO 2;LAZIO 2 - U03;UNIONE POPOLARE CON DE MAGISTRIS;FRANCESCA MALARA
LAZIO 2;LAZIO 2 - U03;NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI;CHIARA COLOSIMO
LAZIO 2;LAZIO 2 - U03;ITALEXIT PER L'ITALIA;GIUSEPPE BARBARO
LAZIO 2;LAZIO 2 - U03;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA,+EUROPA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;TOMMASO MALANDRUCCOLO
LAZIO 2;LAZIO 2 - U03;ITALIA SOVRA E POPOLARE;FABRIZIO MARCHI
LAZIO 2;LAZIO 2 - U03;AZIONE - ITALIA VIVA - CALENDA;TIZIANO LAURI
LAZIO 2;LAZIO 2 - U04;MOVIMENTO 5 STELLE;ILARIA FONTANA
LAZIO 2;LAZIO 2 - U04;UNIONE POPOLARE CON DE MAGISTRIS;SONIA SALE
LAZIO 2;LAZIO 2 - U04;NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI;MASSIMO RUSPANDINI
LAZIO 2;LAZIO 2 - U04;ITALEXIT PER L'ITALIA;DAMIANA FIAMMENGHI
LAZIO 2;LAZIO 2 - U04;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA,+EUROPA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;ANDREA TURRIZIANI
LAZIO 2;LAZIO 2 - U04;ITALIA SOVRA E POPOLARE;PAOLO DI RUZZA
LAZIO 2;LAZIO 2 - U04;AZIONE - ITALIA VIVA - CALENDA;STEFANO CARDUCCI
LAZIO 2;LAZIO 2 - U05;MOVIMENTO 5 STELLE;ANNA MATTIELLO
LAZIO 2;LAZIO 2 - U05;UNIONE POPOLARE CON DE MAGISTRIS;MADDÈ GUGLIELMO
