Dove;Circoscrizione;Collegio plurinominale;Lista;Candidato
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;UNIONE POPOLARE CON DE MAGISTRIS;ANGELO D'ORSI
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;UNIONE POPOLARE CON DE MAGISTRIS;FRANCESCA BERTINI
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;UNIONE POPOLARE CON DE MAGISTRIS;DAMIANO CARRETTO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;UNIONE POPOLARE CON DE MAGISTRIS;ALESSANDRA DE ROSSI
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;UNIONE POPOLARE CON DE MAGISTRIS;FIORENZA ARISIO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;UNIONE POPOLARE CON DE MAGISTRIS;FAUSTO BRUNO CRISTOFARI
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;UNIONE POPOLARE CON DE MAGISTRIS;GIULIA SOPEGNO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;UNIONE POPOLARE CON DE MAGISTRIS;STEFANO ALBERIONE
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;UNIONE POPOLARE CON DE MAGISTRIS;MASSIMO ARCANGELI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;UNIONE POPOLARE CON DE MAGISTRIS;LAURA GIOVANNA ROBBIANO
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;UNIONE POPOLARE CON DE MAGISTRIS;ANDREA TAMISO
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;UNIONE POPOLARE CON DE MAGISTRIS;CINZIA LAMANNA
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;UNIONE POPOLARE CON DE MAGISTRIS;LORENZA AMEGLIO
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;UNIONE POPOLARE CON DE MAGISTRIS;GIOVANNI LUIGI MACCARINO
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;UNIONE POPOLARE CON DE MAGISTRIS;STEFANELLA RAVAZZI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;UNIONE POPOLARE CON DE MAGISTRIS;FABIO PANERO
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;UNIONE POPOLARE CON DE MAGISTRIS;LUIGI DE MAGISTRIS
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;UNIONE POPOLARE CON DE MAGISTRIS;ANNA BRUNA CAMPOSAMPIERO
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;UNIONE POPOLARE CON DE MAGISTRIS;ROCCO SPINELLI
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;UNIONE POPOLARE CON DE MAGISTRIS;MARA GHIDORZI
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;UNIONE POPOLARE CON DE MAGISTRIS;RITA ZECCHINI
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;UNIONE POPOLARE CON DE MAGISTRIS;MASSIMO CAMNASIO
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;UNIONE POPOLARE CON DE MAGISTRIS;SILVIA CONCA
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;UNIONE POPOLARE CON DE MAGISTRIS;LUIGI PIETRO ROMANO MARCHITELLI
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;UNIONE POPOLARE CON DE MAGISTRIS;LUCIANO BARRACCO
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;UNIONE POPOLARE CON DE MAGISTRIS;RAFFAELLA LAMBERTI
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;UNIONE POPOLARE CON DE MAGISTRIS;GIUSEPPE MUSOLINO
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;UNIONE POPOLARE CON DE MAGISTRIS;ELENA LOTT
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P02;UNIONE POPOLARE CON DE MAGISTRIS;CRISTIANO NEGRINI
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P02;UNIONE POPOLARE CON DE MAGISTRIS;CAROLINA CRIPPA
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P02;UNIONE POPOLARE CON DE MAGISTRIS;GIOVANNI ROVEDA
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P02;UNIONE POPOLARE CON DE MAGISTRIS;STEFANIA SALA
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P01;UNIONE POPOLARE CON DE MAGISTRIS;ARISTIDE GRECO CASOTTI
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P01;UNIONE POPOLARE CON DE MAGISTRIS;SIMONA SURIANO
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P01;UNIONE POPOLARE CON DE MAGISTRIS;MARCO SIRONI
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P01;UNIONE POPOLARE CON DE MAGISTRIS;SILVIA CARA'
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P02;UNIONE POPOLARE CON DE MAGISTRIS;GIOVANNA GIACOPINI
